1,solid heavy stand. quality materials! worth the money!
1,able to see from a distance. sturdy materials used.
0,"the trimmed is lightweight, easy to use, and all the attachments work as described. the stand could be designed better. overall, it fits my needs and is worth the money i paid."
0,"ive been using whitestrips for almost six years and i swear dearly by them.  people are always complimenting me on how white my teeth are, and its all thanks to the whitestrips i use once a year.  it says it lasts up to 18 months, but i find better results in doing this exactly every 12 months.  i cant recommend these enough."
0,"received two units of the alpha hydro aha shuffle 12%  delivery time was longer then expected, and one jar had been previously opened. thru that one away. definitely not satisfied."
1,my wife and are are very pleased with this product.
0,many scratches on the product. the uv bulb almost die. user menu is full of twinkle. dont buy anything from this seller. it is not new!!!!!!
1,good soap. we use it for everything!
1,"to me, this is just as good as that more expensive brand (you know which im talking about), and its a lot cheaper. i make home cleaners and laundry detergent with it, and its good. i love the almond smell. will buy again."
1,does the job
1,"this product had high ratings . it didnt work for me. it was a little price. was very disappointed. it made me ill to my stomach, i continued to take product for two weeks with out relief."
0,my girlfriend and i love this product because of the singly refreshing sensation it gives. this face wash is great for a daily cleaner and it keeps me acne free!
1,blades are way to thin.
0,"this is much smaller than it appears.  if you use the inside upper compartments, the outside pockets are rendered virtually useless. it also slips over onto its side inside your purse. having said all that, im still using it, so it must be ok."
1,lip stick is old. smells terrible
1,deeper tone of my favorite bush. mac warm soul. love the pinkbrown flush it gives to my nc 37 skin.
1,very cute tiny nail gems.
1,"ive noticed a dramatic difference ever since i started using a waterpik. i have large gaps in between my teeth and always build starter faster than anyone else in my family. i usually have to get my teeth cleaning done every 36 months but now after 3 months of using this waterpik and closing at once, its been 3 months and i have no starter build up at all. this has a bigger tank than the scoreless one so you dont have to fill it in the middle of using it.my suggestion is to use the first half of the water tank to push out anything between your teeth, using regular loss, then the 2nd half of the tank to get what you missed, then brush, and rise. i only do this once at night before i go to bed and my teeth are starter free. of course you could do it multiple times a day, but who has time for that?my only complaint is it is very noisy!"
1,item was just what i wanted and what was described. will definitely order again.
0,most of the skin cream from signature club a work very well for me.  this cream is just okadrianne ariel makes other cream that will certainly help much more with upper lies tagging.
1,one of my favorite brackets. i wear it all the time.
1,great color love it
1,great product and understanding and reasonable seller
0,"this worked wonders for me!  i just wish there were more stylish (even plain black) designs.  want to look like a total geek at work, this will do the trick!  good thing i have understanding coworkers!had sinus surgery and it was too painful to have my glasses sit on my nose.  these were a life save!"
1,my daughter loved it!
0,my spring facial work great....
0,"as disappointed i was with this not being a case like it said in the description, i was very pleased with the outcome! the only thing i dont like it my phone feeling so vulnerable and fragile. i would recommend this for someone without a history of breaking phones"
0,"i have been using this product for about 30 days. i am 58, with naturally good skin. i have no wrinkles yet, but laugh lines and slightly tagging bowls were my constant reminder that i am aging. i am finding that a small amount goes a long way to tightening my skin and frightening my face. i am pleased with my results so far."
1,my favorite ever!
1,very cute
0,"i love how gentle it is, and my skin doesnt feel as oily as it normally does."
0,havent had enough time to accurately say if i feel a difference but it hasn caused any digestive upset.  i have been around several people with a bad case of the flu and so far so good so it may have helped my immune system.
1,works so much better than expected and saves so much time
0,these nail clippers are ok. they can leave a ragged nail. my husband loves them as they have a nail file that slides out to smooth out ragged nail edges.
1,"not that great of a fragrance, reviews were misleading...disappointed"
1,this product is great.
1,smells awesome!
0,doesnt charge my sydney edge. connects like it is bit literally may change by 1% in 5 hours.
